n,keep,seed,w_cex,rows,fitted
4000,0.25,30,-0.23030351962310394,997,True
4000,0.25,31,-0.3101649670063792,957,True
4000,0.25,32,-0.18884089706435048,996,True
4000,0.25,33,-0.10867684259069045,1021,True
4000,0.25,34,0.15202721224354154,972,True
4000,0.25,35,0.37877568003189177,1023,True
4000,0.25,36,1.038425655520378,1009,True
4000,0.25,37,0.1202501658240233,979,True
4000,0.25,38,0.7017787621489148,969,True
4000,0.25,39,-0.3877899181259028,1004,True
4000,0.12,0,0.2882105749404799,478,True
4000,0.12,1,-0.08841434402393955,473,True
4000,0.12,2,-0.5358620164221103,478,True
4000,0.12,3,-0.7747261808427749,445,True
4000,0.12,4,-2.213671091181179,502,True
4000,0.12,5,0.1790021491936727,473,True
4000,0.12,6,-0.13582093581826837,473,True
4000,0.12,7,-0.6905005399218631,513,True
4000,0.12,8,0.5163222212125356,486,True
4000,0.12,9,-0.4568289346578281,476,True
4000,0.12,10,1.0286253747928538,480,True
4000,0.12,11,-0.15883708761856408,511,True
4000,0.12,12,-0.29645008703920306,501,True
4000,0.12,13,0.31753112870063754,461,True
4000,0.12,14,-1.146813340742982,472,True
4000,0.12,15,0.6547732274628987,494,True
4000,0.12,16,-1.4282632996229239,456,True
4000,0.12,17,-0.15297266314358884,470,True
4000,0.12,18,-0.37184862160169746,482,True
4000,0.12,19,-1.1135187210318143,468,True
4000,0.12,20,-0.2440874756745646,495,True
4000,0.12,21,0.4136771775675489,511,True
4000,0.12,22,1.1481223695190268,500,True
4000,0.12,23,-0.2538830133295115,453,True
4000,0.12,24,0.851418981976971,494,True
4000,0.12,25,0.8033586768430767,495,True
4000,0.12,26,-0.663609819833828,490,True
4000,0.12,27,0.8536088135884513,499,True
4000,0.12,28,1.0727230533978493,470,True
4000,0.12,29,-0.23500222600398454,473,True
4000,0.12,30,-0.8812352065207986,490,True
4000,0.12,31,-1.1913333760772504,451,True
4000,0.12,32,0.5530225933960925,485,True
4000,0.12,33,0.9270856518407959,476,True
4000,0.12,34,0.7553247816905685,460,True
4000,0.12,35,-0.27834023359292837,500,True
4000,0.12,36,1.3659240051178432,461,True
4000,0.12,37,-0.385274079434755,458,True
4000,0.12,38,1.1945059251289345,475,True
4000,0.12,39,-0.9872793133360558,476,True
1000,0.5,0,0.40668499167510713,460,True
1000,0.5,1,0.16868986765908986,479,True
1000,0.5,2,0.2645345370232471,515,True
1000,0.5,3,-0.22709767081254176,506,True
1000,0.5,4,-0.9928643429220463,520,True
1000,0.5,5,0.8635392268710043,520,True
1000,0.5,6,-0.5897724015922673,498,True
1000,0.5,7,-0.6582951818185631,483,True
1000,0.5,8,0.41920676020811193,524,True
1000,0.5,9,0.7416364446090421,503,True
1000,0.5,10,0.2653347098139758,490,True
1000,0.5,11,-0.1673042041236419,501,True
1000,0.5,12,-0.24828314086375017,476,True
1000,0.5,13,-0.6849511798581506,496,True
1000,0.5,14,-0.3835215731100688,503,True
1000,0.5,15,-0.002403497978375062,500,True
1000,0.5,16,0.01718325407710814,495,True
1000,0.5,17,0.04898818621985828,470,True
1000,0.5,18,-1.0390535569482817,504,True
1000,0.5,19,0.23703546384167495,490,True
1000,0.5,20,-0.25121434262220876,490,True
1000,0.5,21,-0.07714740482470328,505,True
1000,0.5,22,-0.20928058330826202,454,True
1000,0.5,23,0.08043003893751309,500,True
1000,0.5,24,-0.41450309414529707,483,True
1000,0.5,25,0.3520777674429321,485,True
1000,0.5,26,0.2888089688948737,485,True
1000,0.5,27,-0.49581458022576996,467,True
1000,0.5,28,-0.07169688893128864,486,True
1000,0.5,29,-0.3843959220251162,465,True
1000,0.5,30,0.6317629045564974,484,True
1000,0.5,31,0.6549442885172736,463,True
1000,0.5,32,0.5344902798833598,477,True
1000,0.5,33,0.34960964480100887,513,True
1000,0.5,34,0.05210926790085255,472,True
1000,0.5,35,-0.13067906040671468,477,True
1000,0.5,36,-0.09193342737813348,503,True
1000,0.5,37,-0.010039259893217545,463,True
1000,0.5,38,0.3676162456399985,485,True
1000,0.5,39,-0.05598834507047498,493,True
1000,0.25,0,-1.0009148786033009,237,True
1000,0.25,1,0.05785275690103451,217,True
1000,0.25,2,0.29775176335843845,246,True
1000,0.25,3,0.9508919720238326,240,True
1000,0.25,4,-1.1738314369637184,268,True
1000,0.25,5,0.7000034771413579,257,True
1000,0.25,6,0.16241468624086078,245,True
1000,0.25,7,-1.0503179050229223,255,True
1000,0.25,8,0.3422964947406981,267,True
1000,0.25,9,1.5220501321949214,250,True
1000,0.25,10,-0.5575909415751091,244,True
1000,0.25,11,-0.37868880383669695,252,True
1000,0.25,12,-0.13854149257201873,225,True
1000,0.25,13,0.4693935615885138,239,True
1000,0.25,14,-0.577593346465688,252,True
1000,0.25,15,0.45067139035729203,264,True
1000,0.25,16,0.4545173185544916,257,True
1000,0.25,17,0.24722498732442558,241,True
1000,0.25,18,-0.7792983883816476,260,True
1000,0.25,19,0.481336814388207,241,True
1000,0.25,20,0.041702232363447535,248,True
1000,0.25,21,-1.1443189725749017,264,True
1000,0.25,22,-0.9231611586973176,218,True
1000,0.25,23,-0.49164647984365234,245,True
1000,0.25,24,-1.4788850512293796,248,True
1000,0.25,25,0.9234932012641995,252,True
1000,0.25,26,-0.04587276058501129,255,True
1000,0.25,27,-0.4533643082150952,235,True
1000,0.25,28,-0.012585342076680744,241,True
1000,0.25,29,-1.3242608533561193,215,True
1000,0.25,30,-1.1029008860762093,232,True
1000,0.25,31,0.399519426324193,214,True
1000,0.25,32,1.0227520087906106,225,True
1000,0.25,33,-0.035083571811372075,266,True
1000,0.25,34,0.8473747044165945,230,True
1000,0.25,35,0.01659655049810361,253,True
1000,0.25,36,-0.005920690563173713,253,True
1000,0.25,37,0.35487070561352574,212,True
1000,0.25,38,0.4825735551224045,235,True
1000,0.25,39,0.2361310030197918,235,True
1000,0.12,0,-3.2422768051889252,125,True
1000,0.12,1,-0.5649885982969016,102,True
1000,0.12,2,-0.36026136468306663,121,True
1000,0.12,3,-1.570948475478749,102,True
1000,0.12,4,-3.7054151077747677,139,True
1000,0.12,5,0.8141877708140693,143,True
1000,0.12,6,1.2021835691907496,108,True
1000,0.12,7,-0.6230563269338988,124,True
1000,0.12,8,2.430534228051042,127,True
1000,0.12,9,4.2201997392091535,117,True
1000,0.12,10,-0.18714691740103265,114,True
1000,0.12,11,-0.7484361605082794,133,True
1000,0.12,12,0.6124524365981117,101,True
1000,0.12,13,0.5583104443102483,109,True
1000,0.12,14,-0.7479516850624531,131,True
1000,0.12,15,0.10174463186362465,134,True
1000,0.12,16,0.7398059585684919,117,True
1000,0.12,17,0.6783527344797561,118,True
1000,0.12,18,-2.3065898803273934,119,True
1000,0.12,19,0.9771751856952028,103,True
1000,0.12,20,-3.1029981513649894,122,True
1000,0.12,21,-3.746979606318664,119,True
1000,0.12,22,-0.8577193302911839,108,True
1000,0.12,23,0.9993414591569773,115,True
1000,0.12,24,0.14425819171559492,138,True
1000,0.12,25,1.138551592618124,123,True
1000,0.12,26,1.2096671209437484,113,True
1000,0.12,27,-1.9601330139904647,115,True
1000,0.12,28,-4.238807687728705,105,True
1000,0.12,29,-1.534439774847935,99,True
1000,0.12,30,-5.8667004369423905,120,True
1000,0.12,31,4.846715165371923,107,True
1000,0.12,32,-1.559965118152709,104,True
1000,0.12,33,-0.34554491913764573,126,True
1000,0.12,34,1.158686117628827,112,True
1000,0.12,35,0.744526698618958,130,True
1000,0.12,36,-1.981436106515849,103,True
1000,0.12,37,-0.41602128100241315,97,True
1000,0.12,38,3.067571147778968,111,True
1000,0.12,39,1.379604062352277,117,True
